ID,Line_EN,Station,Station_EN,Component_EN,Occurrence Date,Installation Date,Year,Month,YearMonth,Season,Days Since Installation,Months Since Installation,Years Since Installation,Average Daily Ridership,Ridership_Category,Location_Type_EN,Station_Daily_Runs,Station_Daily_Runs_Category,Manufacturer,Supplier,LineStation,LineStation_EN,LineStation_Failure_Count,PlatformDoor,PlatformDoor_Failure_Count,Platform_Number,Door_Number,Door_Position,Component
2412,Gyeongin Line,간석,Ganseok,Motor,2020-07-13,2015-12-15,2020,7,2020-07,Summer,1672,55.73333333,4.580821918,7477,Medium-Low,Above Ground,113,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,1번홈_8-3,62.0,1.0,8.0,3.0,모터
2413,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_4-3,81.0,2.0,4.0,3.0,장애물센서
2414,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_4-4,112.0,2.0,4.0,4.0,장애물센서
2415,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_5-1,87.0,2.0,5.0,1.0,장애물센서
2416,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_8-2,77.0,2.0,8.0,2.0,장애물센서
2417,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_8-3,61.0,2.0,8.0,3.0,장애물센서
2418,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_9-1,45.0,2.0,9.0,1.0,장애물센서
2419,Gyeongin Line,동암,Dongam,Obstacle Sensor,2020-07-15,2010-12-15,2020,7,2020-07,Summer,3500,116.6666667,9.589041096,20415,Medium-High,Above Ground,197,High,오디텍,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_10-2,47.0,2.0,10.0,2.0,장애물센서
2421,Gyeongin Line,간석,Ganseok,Motor,2020-07-16,2015-12-15,2020,7,2020-07,Summer,1675,55.83333333,4.589041096,7477,Medium-Low,Above Ground,114,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,4번홈_10-4,42.0,4.0,10.0,4.0,모터
2422,Suin Line,월곶,Wolgot,DCU,2020-07-17,2017-09-15,2020,7,2020-07,Summer,1036,34.53333333,2.838356164,3578,Low,Above Ground,84,Medium-Low,TBR,GS네오텍,수인선_월곶,Suin Line_Wolgot,18,2번홈_6-1,97.0,2.0,6.0,1.0,DCU
2423,Gyeongin Line,도원,Dowon,Electrical Stop,2020-07-18,2017-12-15,2020,7,2020-07,Summer,946,31.53333333,2.591780822,4337,Low,Above Ground,114,Medium-Low,Unknown,우진산전,경인선_도원,Gyeongin Line_Dowon,32,4번홈_8-1,34.0,4.0,8.0,1.0,전기정
